Position,Velocity,Throttle, Pitch_Angle,Pitch_Rate,Desired_Pitch,Elevator
 5.71701E+00, 2.92186E+00, 5.23120E-01, 7.45475E+00, 7.15643E-01, 1.00000E+01, 1.67838E-01
 6.01515E+00, 2.98146E+00, 5.22935E-01, 7.52410E+00, 6.93497E-01, 1.00000E+01, 1.63397E-01
 6.31919E+00, 3.04039E+00, 5.22752E-01, 7.59145E+00, 6.73543E-01, 1.00000E+01, 1.59007E-01
 6.31919E+00, 3.04039E+00, 5.22752E-01, 7.59145E+00, 6.73543E-01, 1.00000E+01, 1.59007E-01
 6.62906E+00, 3.09866E+00, 5.22571E-01, 7.65693E+00, 6.54785E-01, 1.00000E+01, 1.54706E-01
 6.94469E+00, 3.15628E+00, 5.22392E-01, 7.72061E+00, 6.36805E-01, 1.00000E+01, 1.50511E-01
 7.59300E+00, 3.26993E+00, 5.22038E-01, 7.84363E+00, 6.10734E-01, 1.00000E+01, 1.41973E-01
 7.92557E+00, 3.32562E+00, 5.22038E-01, 7.90256E+00, 5.89313E-01, 1.00000E+01, 1.41973E-01
 7.92557E+00, 3.32562E+00, 5.22038E-01, 7.90256E+00, 5.89313E-01, 1.00000E+01, 1.41973E-01
 8.60721E+00, 3.43544E+00, 5.21522E-01, 8.01620E+00, 5.57774E-01, 1.00000E+01, 1.30816E-01
 8.95614E+00, 3.48924E+00, 5.21522E-01, 8.07025E+00, 5.40518E-01, 1.00000E+01, 1.30816E-01
 9.31038E+00, 3.54242E+00, 5.21353E-01, 8.12274E+00, 5.24968E-01, 1.00000E+01, 1.27354E-01
 9.31038E+00, 3.54242E+00, 5.21187E-01, 8.12274E+00, 5.24968E-01, 1.00000E+01, 1.23932E-01
 9.66988E+00, 3.59498E+00, 5.21022E-01, 8.17378E+00, 5.10348E-01, 1.00000E+01, 1.20580E-01
 1.00346E+01, 3.64694E+00, 5.21022E-01, 8.22341E+00, 4.96334E-01, 1.00000E+01, 1.20580E-01
 1.04044E+01, 3.69829E+00, 5.20697E-01, 8.27169E+00, 4.82788E-01, 1.00000E+01, 1.14125E-01
 1.07793E+01, 3.74904E+00, 5.20537E-01, 8.31866E+00, 4.69644E-01, 1.00000E+01, 1.11025E-01
 1.15441E+01, 3.84909E+00, 5.20222E-01, 8.40939E+00, 4.50487E-01, 1.00000E+01, 1.04724E-01
 1.19339E+01, 3.89807E+00, 5.20067E-01, 8.45286E+00, 4.34692E-01, 1.00000E+01, 1.02036E-01
 1.23286E+01, 3.94647E+00, 5.20067E-01, 8.49500E+00, 4.21419E-01, 1.00000E+01, 1.02036E-01
 1.23286E+01, 3.94647E+00, 5.20067E-01, 8.49500E+00, 4.21419E-01, 1.00000E+01, 1.02036E-01
 1.31322E+01, 4.04187E+00, 5.19762E-01, 8.57649E+00, 4.00076E-01, 1.00000E+01, 9.63423E-02
 1.31322E+01, 4.04187E+00, 5.19612E-01, 8.57649E+00, 4.00076E-01, 1.00000E+01, 9.38770E-02
 1.35411E+01, 4.08856E+00, 5.19464E-01, 8.61527E+00, 3.87792E-01, 1.00000E+01, 9.13889E-02
 1.43726E+01, 4.18028E+00, 5.19317E-01, 8.68956E+00, 3.66200E-01, 1.00000E+01, 8.89314E-02
 1.43726E+01, 4.18028E+00, 5.19317E-01, 8.68956E+00, 3.66200E-01, 1.00000E+01, 8.89314E-02
 1.47951E+01, 4.22560E+00, 5.19027E-01, 8.72565E+00, 3.60963E-01, 1.00000E+01, 8.38996E-02
 1.56536E+01, 4.31403E+00, 5.18745E-01, 8.79424E+00, 3.37635E-01, 1.00000E+01, 7.95787E-02
 1.56536E+01, 4.31403E+00, 5.18745E-01, 8.79424E+00, 3.37635E-01, 1.00000E+01, 7.95787E-02
 1.65294E+01, 4.40061E+00, 5.18468E-01, 8.85936E+00, 3.23145E-01, 1.00000E+01, 7.50942E-02
 1.69737E+01, 4.44297E+00, 5.18468E-01, 8.89053E+00, 3.11761E-01, 1.00000E+01, 7.50942E-02
 1.69737E+01, 4.44297E+00, 5.18332E-01, 8.89053E+00, 3.11761E-01, 1.00000E+01, 7.31694E-02
 1.78748E+01, 4.52614E+00, 5.18197E-01, 8.95011E+00, 2.93567E-01, 1.00000E+01, 7.12287E-02
 1.78748E+01, 4.52614E+00, 5.18197E-01, 8.95011E+00, 2.93567E-01, 1.00000E+01, 7.12287E-02
 1.83315E+01, 4.56722E+00, 5.17932E-01, 8.97904E+00, 2.89241E-01, 1.00000E+01, 6.72151E-02
 1.87922E+01, 4.60753E+00, 5.17802E-01, 9.00694E+00, 2.79051E-01, 1.00000E+01, 6.54922E-02
 1.97256E+01, 4.68666E+00, 5.17673E-01, 9.06027E+00, 2.62765E-01, 1.00000E+01, 6.37552E-02
 1.97256E+01, 4.68666E+00, 5.17673E-01, 9.06027E+00, 2.62765E-01, 1.00000E+01, 6.37552E-02
 2.06746E+01, 4.76408E+00, 5.17294E-01, 9.11113E+00, 2.49772E-01, 1.00000E+01, 5.86206E-02
 2.11548E+01, 4.80195E+00, 5.17294E-01, 9.13535E+00, 2.42127E-01, 1.00000E+01, 5.86206E-02
 2.16387E+01, 4.83933E+00, 5.17049E-01, 9.15887E+00, 2.35195E-01, 1.00000E+01, 5.55309E-02
 2.16387E+01, 4.83933E+00, 5.17049E-01, 9.15887E+00, 2.35195E-01, 1.00000E+01, 5.55309E-02
 2.26177E+01, 4.91294E+00, 5.16809E-01, 9.20427E+00, 2.25391E-01, 1.00000E+01, 5.23886E-02
 2.31126E+01, 4.94893E+00, 5.16809E-01, 9.22602E+00, 2.17473E-01, 1.00000E+01, 5.23886E-02
 2.36110E+01, 4.98447E+00, 5.16691E-01, 9.24710E+00, 2.10826E-01, 1.00000E+01, 5.10448E-02
 2.36110E+01, 4.98447E+00, 5.16574E-01, 9.24710E+00, 2.10826E-01, 1.00000E+01, 4.96905E-02
 2.41130E+01, 5.01955E+00, 5.16574E-01, 9.26758E+00, 2.04794E-01, 1.00000E+01, 4.96905E-02
 2.46184E+01, 5.05442E+00, 5.16344E-01, 9.28776E+00, 2.01778E-01, 1.00000E+01, 4.68903E-02
 2.51273E+01, 5.08861E+00, 5.16344E-01, 9.30723E+00, 1.94670E-01, 1.00000E+01, 4.68903E-02
 2.61551E+01, 5.15591E+00, 5.16009E-01, 9.34467E+00, 1.85732E-01, 1.00000E+01, 4.31397E-02
 2.66740E+01, 5.18880E+00, 5.15900E-01, 9.36259E+00, 1.79146E-01, 1.00000E+01, 4.20358E-02
 2.66740E+01, 5.18880E+00, 5.15900E-01, 9.36259E+00, 1.79146E-01, 1.00000E+01, 4.20358E-02
 2.77215E+01, 5.25354E+00, 5.15900E-01, 9.39704E+00, 1.70894E-01, 1.00000E+01, 4.20358E-02
 2.77215E+01, 5.25354E+00, 5.15685E-01, 9.39704E+00, 1.70894E-01, 1.00000E+01, 3.96921E-02
 2.87816E+01, 5.31661E+00, 5.15475E-01, 9.42970E+00, 1.61800E-01, 1.00000E+01, 3.75337E-02
 2.93164E+01, 5.34742E+00, 5.15371E-01, 9.44530E+00, 1.55967E-01, 1.00000E+01, 3.65776E-02
 2.98542E+01, 5.37784E+00, 5.15269E-01, 9.46041E+00, 1.51139E-01, 1.00000E+01, 3.56099E-02
 2.98542E+01, 5.37784E+00, 5.15269E-01, 9.46041E+00, 1.51139E-01, 1.00000E+01, 3.56099E-02
 3.09387E+01, 5.43768E+00, 5.15269E-01, 9.48955E+00, 1.44615E-01, 1.00000E+01, 3.56099E-02
 3.09387E+01, 5.43768E+00, 5.15068E-01, 9.48955E+00, 1.44615E-01, 1.00000E+01, 3.36049E-02
 3.14854E+01, 5.46691E+00, 5.14970E-01, 9.50351E+00, 1.39517E-01, 1.00000E+01, 3.27437E-02
 3.20350E+01, 5.49576E+00, 5.14970E-01, 9.51703E+00, 1.35246E-01, 1.00000E+01, 3.27437E-02
 3.25874E+01, 5.52443E+00, 5.14775E-01, 9.53034E+00, 1.33110E-01, 1.00000E+01, 3.09171E-02
 3.37007E+01, 5.58044E+00, 5.14775E-01, 9.55578E+00, 1.26029E-01, 1.00000E+01, 3.09171E-02
 3.37007E+01, 5.58044E+00, 5.14585E-01, 9.55578E+00, 1.26029E-01, 1.00000E+01, 2.92358E-02
 3.48250E+01, 5.63496E+00, 5.14585E-01, 9.57985E+00, 1.19215E-01, 1.00000E+01, 2.92358E-02
 3.48250E+01, 5.63496E+00, 5.14399E-01, 9.57985E+00, 1.19215E-01, 1.00000E+01, 2.76509E-02
 3.53911E+01, 5.66159E+00, 5.14399E-01, 9.59135E+00, 1.14909E-01, 1.00000E+01, 2.76509E-02
 3.59599E+01, 5.68786E+00, 5.14307E-01, 9.60248E+00, 1.11348E-01, 1.00000E+01, 2.69469E-02
 3.65313E+01, 5.71379E+00, 5.14217E-01, 9.61330E+00, 1.08142E-01, 1.00000E+01, 2.62341E-02
 3.71052E+01, 5.73936E+00, 5.14040E-01, 9.62381E+00, 1.05130E-01, 1.00000E+01, 2.48388E-02
 3.76817E+01, 5.76459E+00, 5.13953E-01, 9.63403E+00, 1.02242E-01, 1.00000E+01, 2.41652E-02
 3.82607E+01, 5.78948E+00, 5.13866E-01, 9.64398E+00, 9.94517E-02, 1.00000E+01, 2.35092E-02
 3.94259E+01, 5.83843E+00, 5.13866E-01, 9.66319E+00, 9.53904E-02, 1.00000E+01, 2.35092E-02
